Secteur statistique;Indice synthétique de difficulté 2010
11001A00-;-0.808291482626014
11001A01-;-1.03491569736148
11001A020;-1.13246901448434
11001A030;-0.852634906708397
11001A042;-0.885868609684447
11001A052;-1.03943893037247
11001A063;-1.09028419810972
11001A091;-0.862166602407002
11001A0MA;-0.400462233118428
11001A0PA;-0.674677790271914
11001A10-;-0.825142053824804
11001A173;-0.638283868785524
11001A190;-1.08000231179669
11001A20-;-1.2228486539975
11001A21-;-1.11092046425852
11002A00-;0.500788397644636
11002A01-;0.715238809823861
11002A02-;0.003191475290968
11002A03-;0.378356253717244
11002A04-;0.202099352027167
11002A05-;0.202411781945419
11002A10-;-0.220285899697629
11002A11-;0.234916184530894
11002A12-;1.1808853456724
11002A13-;0.887600310946786
11002A14-;-0.249578785468729
11002A15-;0.788349587932265
11002A21-;0.945870186523624
11002A22-;0.504865442217047
11002B701;1.90916307012107
11002B71-;-0.247119101931531
11002B721;0.503607840753504
11002B742;-0.372304766529202
11002B752;-0.481552338071937
11002B782;3.10094953655685
11002B791;-0.646449653287741
11002B813;-0.777943448483322
11002B824;2.16933773342
11002C20-;1.3123907172582
11002C21-;0.935806591234862
11002C22-;2.17132302020823
11002C23-;1.30018196365994
11002C24-;1.41779806685356
11002C25-;0.908407357933296
11002C31-;0.143362976278219
11002C41-;1.72241974721337
11002C42-;2.09742540181609
11002C43-;1.10488627158167
11002C44-;1.87985907872283
11002C45-;1.32372776153909
11002D30-;0.719526861927189
11002D31-;0.756057564271883
11002D32-;0.398912566323533
11002D33-;0.627979943446622
11002D34-;0.248758593436646
11002D35-;0.546895091731686
11002D41-;0.363510022187413
11002D42-;0.428069089888755
11002E122;0.580184216348134
11002E131;-0.190595330935086
11002E14-;0.023986559356357
11002E15-;-0.053906417634901
11002E50-;0.443549223592377
11002E521;0.357135678457531
11002E53-;0.47791732011647
11002E551;-0.216462928560037
11002E5MJ;2.47945688922956
11002F11-;1.42824493088506
11002F12-;2.22579675396755
11002F21-;-0.026113835616559
11002F223;2.57354655542105
11002F60-;0.979663463314066
11002F61-;0.970480856205703
11002F62-;1.73226460377515
11002F64-;2.49729185951961
11002F65-;0.393097360490267
11002G51-;0.248822205193523
11002G522;-0.345342982885451
11002G53-;-0.086527980224356
11002G54-;-0.428421268463024
11002G552;-0.273838201271766
11002G59-;-1.13701583973886
11002G72-;-0.070213881308117
11002G73-;-0.169013621206514
11002G74-;0.013920853674962
11002G75-;-0.303125008372846
11002G780;0.528925810113377
11002H40-;1.94255536071779
11002H41-;2.29359502030278
11002H43-;1.52632371253905
11002H44-;2.25502160284504
11002H83-;1.75271315799161
11002H84-;1.944425414983
11002J80-;2.23516414634643
11002J81-;1.13393557077619
11002J820;0.647049750148812
11002J83-;0.855583388137359
11002J84-;-0.301647651470994
11002J85-;-0.25851755466091
11002J901;-1.1416180856877
11002J912;-0.747889950652015
11002J923;-1.15239747092001
11002J932;2.14016251284852
11002J94-;-1.14213715856238
11002K171;-1.05315479794584
11002L000;-0.99015529007784
11002L011;-1.04337360855363
11002L022;-0.538443123873186
11002L090;-0.92333160217347
11002L100;-0.860092846508381
11002L111;-0.966367031457886
11002L122;-0.348479255319623
11002L18-;-0.660493896273305
11002P00-;-0.5325851087234
11002P01-;-0.599056273036513
11002P02-;-0.693579997181255
11002P03-;-0.839865040300713
11002P04-;-0.956233197653156
11002P05-;-0.972804194118128
11002P100;-1.01181344474412
11002P111;-0.925141271008284
11002P12-;-1.15551557464257
11002P20-;-0.809810146737451
11002P21-;-0.907037212056619
11002P22-;-1.11635496519524
11002P23-;-0.759703398616577
11002P242;-0.892647577944746
11002P500;-0.977286561922031
11002P589;-1.1979411733837
11002P590;-1.13937419730121
11002Q001;0.847202258739729
11002Q012;0.500844436330931
11002Q021;1.08137886134212
11002Q03-;-0.262114167591899
11002Q04-;-0.202890528544588
11002Q052;1.15703327848913
11002Q072;0.498300549892841
11002Q10-;-0.193679986143751
11002Q11-;-0.551860312658784
11002Q12-;-0.344995395723136
11002Q13-;0.022092708724904
11002Q14-;-0.479340832434336
11002Q17-;0.428017014309452
11002Q201;-0.307017094115524
11002Q212;-0.499481100516788
11002Q222;-0.764523251880612
11002Q233;-0.66165554417548
11002Q242;-0.938388912471646
11002Q2AA;-1.28058062090504
11002Q30-;-0.648550417558468
11002R00-;0.211845103520429
11002R01-;0.132311208506936
11002R02-;1.09240180522625
11002R03-;0.397852156392433
11002R04-;0.068830406408016
11002R05-;-0.325604605047145
11002R101;1.102426528889
11002R110;-0.111454110001313
11002R12-;0.477739178563036
11002R13-;0.663443029264194
11002R180;-0.216454949166339
11002R19-;0.430699610950175
11002R20-;-0.186989699488445
11002R21-;-0.208125303475106
11002R22-;-0.296736744412112
11002R23-;-0.312787201055829
11002R24-;-0.153438502335968
11002R30-;0.592783689370987
11002R31-;0.282528275279744
11002R32-;0.787313353337139
11002R33-;-0.401247593685198
11002R34-;0.784711005954501
11002R35-;0.077991323781445
11002R401;-0.406594585916331
11002R41-;-0.779664162630839
11002R42-;-0.387171442562088
11002R43-;-0.392994692964925
11002R44-;-0.307167594533421
11002R47-;0.624551737811308
11002S00-;0.823094155407528
11002S01-;1.33202399876041
11002S02-;1.09945189061236
11002S03-;1.31064682642983
11002S04-;0.953727583648504
11002S05-;1.12767894063918
11002S10-;0.334736168896409
11002S11-;-0.13412870414117
11002S12-;0.120985110250575
11002S13-;-0.268687994579713
11002S20-;1.19073973519984
11002S2MJ;0.186780512536746
11002S30-;1.40375926266276
11002S31-;1.58049039194267
11002S41-;0.258622291277333
11002S42-;-0.259010556016077
11002S43-;0.088546118096106
11002T00-;0.824711041100316
11002T01-;0.658820077024041
11002T02-;0.671261967323372
11002T03-;-0.062540711635745
11002T04-;-0.309752071633488
11002T05-;0.291690790415643
11002T09-;0.545109169139339
11002T10-;-0.59990858134636
11002T111;-0.188222909161638
11002T12-;-0.530037311351545
11002T13-;-0.488673381024711
11002T14-;-0.685494942981591
11002T180;-1.25764312813337
11002T20-;0.176431940973612
11002T21-;0.341286174269561
11002T22-;-0.209038733704916
11002T23-;-0.409670969494032
11002T24-;-0.076529977213037
11002T25-;1.02937381068226
11002T30-;-0.214238155319389
11002T412;-0.428878142179261
11002T42-;-0.370574346863297
11002U00-;-0.414725846424136
11002U01-;-0.231236865489413
11002U02-;-0.439565036253608
11002U03-;-0.831144138443935
11002U09-;-0.630188858300571
11002U10-;-0.445559269660482
11002U11-;-0.267169724228352
11002U20-;-0.044419797155888
